st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10
2013-11-03 08:39:00;2013-11-03 13:11:00;272;4.2;6.1;3.1;2013-11-03 08:39:00;2013-11-03 11:17:00;158;3.9;6;3;2013-11-03 08:41:00;2013-11-03 11:18:00;157;4.6;12.2;5.5;2013-11-03 08:45:00;2013-11-03 11:19:00;154;4.1;6.1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-11-06 01:43:00;2013-11-06 06:29:00;286;4.1;6.2;3.5;2013-11-06 01:43:00;2013-11-06 06:28:00;285;4.4;6.1;5.4;2013-11-06 01:43:00;2013-11-06 06:26:00;283;3.7;6.4;3.1;2013-11-06 01:52:00;2013-11-06 06:29:00;277;4.1;6.1;3.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-11-06 21:10:00;2013-11-07 04:11:00;421;3.2;6.1;2.1;2013-11-06 21:11:00;2013-11-07 02:40:00;329;2.9;5.9;1.8;2013-11-06 21:18:00;2013-11-07 02:38:00;320;3.8;6.4;2.5;2013-11-06 21:10:00;2013-11-07 03:57:00;407;3;6.1;2.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-11-09 04:14:00;2013-11-09 08:21:00;247;2.4;4.2;2.6;2013-11-09 04:18:00;2013-11-09 06:32:00;134;2.3;6;2.4;2013-11-09 04:14:00;2013-11-09 07:17:00;183;2.2;6.4;2.5;2013-11-09 04:32:00;2013-11-09 06:35:00;123;2.6;6.1;3.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-11-10 13:06:00;2013-11-10 22:51:00;585;8.1;6.2;2.5;2013-11-10 13:07:00;2013-11-10 20:22:00;435;7.6;5.9;2.4;2013-11-10 13:06:00;2013-11-10 20:24:00;438;8.5;6.4;3.1;2013-11-10 13:07:00;2013-11-10 20:27:00;440;8.2;6.1;2.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-11-20 07:03:00;2013-11-20 12:01:00;298;2;4.2;2.1;2013-11-20 07:20:00;2013-11-20 09:42:00;142;1.7;5.9;1.8;2013-11-20 07:09:00;2013-11-20 09:39:00;150;2.3;6.4;2.5;2013-11-20 07:03:00;2013-11-20 09:42:00;159;2;6.1;2.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-12-05 21:53:00;2013-12-06 02:21:00;268;2.8;12.1;7.9;2013-12-05 21:58:00;2013-12-06 00:42:00;164;3.5;12.5;11.1;2013-12-05 21:53:00;2013-12-06 00:06:00;133;2.4;12.2;9.2;2013-12-05 22:02:00;2013-12-06 00:45:00;163;2.4;12.3;7.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-01-04 22:31:00;2014-01-05 03:27:00;296;2.3;4.2;1.8;2014-01-04 22:31:00;2014-01-05 01:25:00;174;2.2;5.9;1.8;2014-01-04 22:33:00;2014-01-05 02:00:00;207;2.6;6.4;1.9;2014-01-04 22:34:00;2014-01-05 01:06:00;152;2.1;6.1;1.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-01-05 14:50:00;2014-01-05 23:57:00;547;5.2;4.2;1.8;2014-01-05 15:12:00;2014-01-05 21:33:00;381;4.8;5.9;1.8;2014-01-05 14:50:00;2014-01-05 21:15:00;385;6.2;6.4;1.9;2014-01-05 15:06:00;2014-01-05 21:08:00;362;4.7;6.1;1.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-01-20 09:07:00;2014-01-21 19:31:00;2064;4.1;4.2;1.2;2014-01-20 09:07:00;2014-01-21 14:17:00;1750;4.6;5.9;1.2;2014-01-20 10:21:00;2014-01-21 04:11:00;1070;4.6;6.4;1.3;2014-01-20 10:18:00;2014-01-21 04:19:00;1081;3.2;6.1;1.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
