time;RG1;RG2;RG3
10/14/2014 01:29:00;0;3;3.21
10/14/2014 01:30:00;0;0;0
10/14/2014 01:31:00;0;3.06;0
10/14/2014 01:32:00;0;0;0
10/14/2014 01:33:00;0;0;2.91
10/14/2014 01:34:00;5.94;0;0
10/14/2014 01:35:00;0;3;3.21
10/14/2014 01:36:00;0;0;0
10/14/2014 01:37:00;0;3.06;0
10/14/2014 01:38:00;0;0;2.91
10/14/2014 01:39:00;0;0;0
10/14/2014 01:40:00;5.94;3;3.21
10/14/2014 01:41:00;0;0;0
10/14/2014 01:42:00;0;0;0
10/14/2014 01:43:00;0;3.06;0
10/14/2014 01:44:00;0;0;0
10/14/2014 01:45:00;0;0;0
10/14/2014 01:46:00;0;0;0
10/14/2014 01:47:00;5.94;0;0
10/14/2014 01:48:00;0;0;2.91
10/14/2014 01:49:00;0;0;0
10/14/2014 01:50:00;0;3;0
10/14/2014 01:51:00;0;0;0
10/14/2014 01:52:00;0;0;3.21
10/14/2014 01:53:00;0;0;0
10/14/2014 01:54:00;0;0;0
10/14/2014 01:55:00;0;0;0
10/14/2014 01:56:00;0;0;0
10/14/2014 01:57:00;0;0;0
10/14/2014 01:58:00;0;0;0
10/14/2014 01:59:00;0;0;0
10/14/2014 02:00:00;0;0;0
10/14/2014 02:01:00;0;0;0
10/14/2014 02:02:00;0;0;0
10/14/2014 02:03:00;0;0;0
10/14/2014 02:04:00;0;0;0
10/14/2014 02:05:00;0;0;0
10/14/2014 02:06:00;0;0;0
10/14/2014 02:07:00;0;0;0
10/14/2014 02:08:00;0;0;0
10/14/2014 02:09:00;0;0;0
10/14/2014 02:10:00;0;0;0
10/14/2014 02:11:00;0;0;0
10/14/2014 02:12:00;0;0;0
10/14/2014 02:13:00;0;0;0
10/14/2014 02:14:00;0;0;0
10/14/2014 02:15:00;0;3.06;0
10/14/2014 02:16:00;0;0;0
10/14/2014 02:17:00;0;0;0
10/14/2014 02:18:00;0;0;0
10/14/2014 02:19:00;0;0;0
10/14/2014 02:20:00;0;0;0
10/14/2014 02:21:00;0;0;2.91
10/14/2014 02:22:00;0;0;0
10/14/2014 02:23:00;0;0;0
10/14/2014 02:24:00;0;0;3.21
10/14/2014 02:25:00;0;0;0
10/14/2014 02:26:00;5.94;3;0
10/14/2014 02:27:00;0;0;0
10/14/2014 02:28:00;0;3.06;0
10/14/2014 02:29:00;0;0;0
10/14/2014 02:30:00;0;0;0
10/14/2014 02:31:00;0;0;2.91
10/14/2014 02:32:00;0;0;3.21
10/14/2014 02:33:00;0;0;0
10/14/2014 02:34:00;5.94;0;0
10/14/2014 02:35:00;0;0;0
10/14/2014 02:36:00;0;0;0
10/14/2014 02:37:00;0;3;0
10/14/2014 02:38:00;0;0;0
10/14/2014 02:39:00;0;3.06;0
10/14/2014 02:40:00;0;0;0
10/14/2014 02:41:00;0;0;0
10/14/2014 02:42:00;0;0;2.91
10/14/2014 02:43:00;0;0;3.21
10/14/2014 02:44:00;0;0;0
10/14/2014 02:45:00;0;0;0
10/14/2014 02:46:00;0;0;0
10/14/2014 02:47:00;5.94;3;0
10/14/2014 02:48:00;0;3.06;0
10/14/2014 02:49:00;0;0;0
10/14/2014 02:50:00;0;0;3.21
10/14/2014 02:51:00;0;0;2.91
10/14/2014 02:52:00;0;6.06;0
10/14/2014 02:53:00;5.94;0;3.18
10/14/2014 02:54:00;0;0;2.91
10/14/2014 02:55:00;0;6.06;0
10/14/2014 02:56:00;5.94;0;3.12
10/14/2014 02:57:00;0;0;2.91
10/14/2014 02:58:00;0;6.06;3.12
10/14/2014 02:59:00;5.94;0;2.91
10/14/2014 03:00:00;0;6.03;3.09
10/14/2014 03:01:00;5.94;0;2.91
10/14/2014 03:02:00;0;3.03;3.12
10/14/2014 03:03:00;5.94;3;2.91
10/14/2014 03:04:00;0;0;0
10/14/2014 03:05:00;5.94;3.06;3.12
10/14/2014 03:06:00;0;3;2.91
10/14/2014 03:07:00;0;0;6
10/14/2014 03:08:00;5.94;3.06;0
10/14/2014 03:09:00;0;0;3.12
10/14/2014 03:10:00;0;3;2.91
10/14/2014 03:11:00;5.94;3.06;0
10/14/2014 03:12:00;0;0;3.18
10/14/2014 03:13:00;0;0;0
10/14/2014 03:14:00;0;3;2.91
10/14/2014 03:15:00;0;3.06;0
10/14/2014 03:16:00;5.94;0;0
10/14/2014 03:17:00;0;3;0
10/14/2014 03:18:00;0;3.06;3.21
10/14/2014 03:19:00;0;0;2.91
10/14/2014 03:20:00;0;3;0
10/14/2014 03:21:00;5.94;3.06;0
10/14/2014 03:22:00;0;0;3.21
10/14/2014 03:23:00;0;0;2.91
10/14/2014 03:24:00;0;3;0
10/14/2014 03:25:00;0;3.06;0
10/14/2014 03:26:00;0;0;3.21
10/14/2014 03:27:00;5.94;3;0
10/14/2014 03:28:00;0;3.06;2.91
10/14/2014 03:29:00;0;0;3.18
10/14/2014 03:30:00;0;3;0
10/14/2014 03:31:00;0;3.06;2.91
10/14/2014 03:32:00;0;0;0
10/14/2014 03:33:00;0;0;0
10/14/2014 03:34:00;5.94;0;0
10/14/2014 03:35:00;0;3;3.21
10/14/2014 03:36:00;0;3.06;0
10/14/2014 03:37:00;0;0;0
10/14/2014 03:38:00;0;0;2.91
10/14/2014 03:39:00;0;0;0
10/14/2014 03:40:00;0;6.06;0
10/14/2014 03:41:00;0;0;3.21
10/14/2014 03:42:00;0;0;0
10/14/2014 03:43:00;5.94;0;0
10/14/2014 03:44:00;0;6.06;2.91
10/14/2014 03:45:00;0;0;3.21
10/14/2014 03:46:00;0;0;0
10/14/2014 03:47:00;0;0;0
10/14/2014 03:48:00;0;0;0
10/14/2014 03:49:00;0;0;6.12
10/14/2014 03:50:00;5.94;0;0
10/14/2014 03:51:00;0;3.06;0
10/14/2014 03:52:00;0;3;0
10/14/2014 03:53:00;0;0;0
10/14/2014 03:54:00;0;0;0
10/14/2014 03:55:00;0;0;0
10/14/2014 03:56:00;0;0;3.21
10/14/2014 03:57:00;0;0;2.91
10/14/2014 03:58:00;0;6.06;0
10/14/2014 03:59:00;5.94;0;0
10/14/2014 04:00:00;0;0;0
10/14/2014 04:01:00;0;3.06;0
10/14/2014 04:02:00;0;3;0
10/14/2014 04:03:00;5.94;0;3.21
10/14/2014 04:04:00;0;6.03;2.91
10/14/2014 04:05:00;5.94;3.03;0
10/14/2014 04:06:00;0;3;3.15
10/14/2014 04:07:00;5.94;3.03;2.91
10/14/2014 04:08:00;0;3;3.12
10/14/2014 04:09:00;5.94;6.03;0
10/14/2014 04:10:00;0;3.03;2.91
10/14/2014 04:11:00;5.94;6.03;3.12
10/14/2014 04:12:00;0;3;2.91
10/14/2014 04:13:00;5.94;6.03;3.09
10/14/2014 04:14:00;5.94;6.03;5.97
10/14/2014 04:15:00;0;6.03;0
10/14/2014 04:16:00;5.94;3.03;5.97
10/14/2014 04:17:00;5.94;6.03;5.94
10/14/2014 04:18:00;5.94;6.03;5.94
10/14/2014 04:19:00;0;6.03;5.94
10/14/2014 04:20:00;5.94;0;3.03
10/14/2014 04:21:00;5.94;6.03;5.94
10/14/2014 04:22:00;0;0;5.94
10/14/2014 04:23:00;5.94;6.06;0
10/14/2014 04:24:00;5.94;0;5.94
10/14/2014 04:25:00;0;6.03;3.09
10/14/2014 04:26:00;5.94;0;2.91
10/14/2014 04:27:00;5.94;0;5.97
10/14/2014 04:28:00;5.94;6.06;0
10/14/2014 04:29:00;0;6.03;3.09
10/14/2014 04:30:00;5.94;0;2.91
10/14/2014 04:31:00;5.94;0;0
10/14/2014 04:32:00;5.94;6.06;6.03
10/14/2014 04:33:00;5.94;0;3.09
10/14/2014 04:34:00;5.94;0;2.91
10/14/2014 04:35:00;5.94;0;0
10/14/2014 04:36:00;5.94;0;3.12
10/14/2014 04:37:00;5.94;6.06;0
10/14/2014 04:38:00;5.94;0;2.91
10/14/2014 04:39:00;5.94;0;0
10/14/2014 04:40:00;0;0;3.21
10/14/2014 04:41:00;5.94;6.06;0
10/14/2014 04:42:00;5.94;0;2.91
10/14/2014 04:43:00;0;6.03;3.21
10/14/2014 04:44:00;0;0;0
10/14/2014 04:45:00;0;0;2.91
10/14/2014 04:46:00;5.94;3.06;3.15
10/14/2014 04:47:00;0;0;0
10/14/2014 04:48:00;0;3;6
10/14/2014 04:49:00;0;3.06;0
10/14/2014 04:50:00;0;6.03;6
10/14/2014 04:51:00;0;15.06;0
10/14/2014 04:52:00;0;12.09;6
10/14/2014 04:53:00;5.94;12.06;5.94
10/14/2014 04:54:00;0;18.18;3.03
10/14/2014 04:55:00;0;21.39;8.88
10/14/2014 04:56:00;5.94;21.36;15.18
10/14/2014 04:57:00;11.88;21.57;15.12
10/14/2014 04:58:00;11.88;21.36;18.18
10/14/2014 04:59:00;11.88;18.24;18.3
10/14/2014 05:00:00;17.82;18.21;21.3
10/14/2014 05:01:00;11.88;18.18;18.27
10/14/2014 05:02:00;11.88;18.18;27.63
10/14/2014 05:03:00;17.82;18.24;24.42
10/14/2014 05:04:00;23.76;15.24;18.3
10/14/2014 05:05:00;17.82;15.09;18.18
10/14/2014 05:06:00;23.76;15.21;18.18
10/14/2014 05:07:00;11.88;15.09;15.21
10/14/2014 05:08:00;5.94;15.18;12.09
10/14/2014 05:09:00;11.88;12.09;15.06
10/14/2014 05:10:00;5.94;12.12;12.18
10/14/2014 05:11:00;5.94;12.09;8.94
10/14/2014 05:12:00;5.94;12.09;9
10/14/2014 05:13:00;5.94;12.12;11.97
10/14/2014 05:14:00;5.94;12.12;12
10/14/2014 05:15:00;11.88;6.03;9.06
10/14/2014 05:16:00;5.94;9.06;8.91
10/14/2014 05:17:00;11.88;9.03;9.03
10/14/2014 05:18:00;5.94;18.18;8.91
10/14/2014 05:19:00;5.94;12.12;3.03
10/14/2014 05:20:00;11.88;12.09;5.94
10/14/2014 05:21:00;17.82;9.06;11.94
10/14/2014 05:22:00;5.94;3.03;12.03
10/14/2014 05:23:00;11.88;6.03;9
10/14/2014 05:24:00;5.94;6.03;8.91
10/14/2014 05:25:00;5.94;6.03;5.97
10/14/2014 05:26:00;5.94;6.03;3.03
